ID,FullName,Nationaility,Position,BirthDate,Height,Weight
19867,Bayli Spencer-Adams,England,Defender,26/06/2001,,
13234,Tomer Hemed,Israel,Forward,02/05/1987,186,
64140,Carney Chukwuemeka,England,Midfielder,20/10/2003,,
2559,Martin Cranie,England,Defender,26/09/1986,183,
12707,Ederson,Brazil,Goalkeeper,17/08/1993,188,86
10491,Darnell Furlong,England,Defender,31/10/1995,183,
20961,Thomas McGill,England,Goalkeeper,25/03/2000,,
3156,Jonny Evans,Northern Ireland,Defender,03/01/1988,188,77
9567,Kieron Freeman,Wales,Defender,21/03/1992,178,
15293,Jayson Molumby,Ireland,Midfielder,06/08/1999,,
19679,Bartosz Kapustka,Poland,Midfielder,23/12/1996,179,
30533,Aaron Rowe,England,Midfielder,07/09/2000,,
16234,Ezequiel Schelotto,Argentina,Defender,23/05/1989,187,
35741,Tony Springett,England,Midfielder,,,
66560,Freddie Potts,England,Midfielder,12/09/2003,,
3811,Nathan Redmond,England,Midfielder,06/03/1994,173,69
9199,Adam Armstrong,England,Forward,10/02/1997,172,69
20517,Saïd Benrahma,Algeria,Forward,10/08/1995,172,67
2980,Dean Whitehead,England,Midfielder,12/01/1982,180,
4851,Matej Vydra,Czech Republic,Forward,01/05/1992,180,71
53182,Theo Corbeanu,Canada,Forward,17/05/2002,190,
13280,Matt Miazga,United States,Defender,19/07/1995,191,
4095,Rodrigo,Spain,Forward,06/03/1991,182,77
23615,Henry Onyekuru,Nigeria,Forward,05/06/1997,175,
12463,Jérémy Pied,France,Defender,23/02/1989,174,
23955,Jubril Okedina,England,Defender,26/10/2000,,
15288,Ben Barclay,England,Defender,07/10/1996,,
5859,Luka Milivojevic,Serbia,Midfielder,07/04/1991,186,80
49761,Sébastien Haller,Cote D’Ivoire,Forward,22/06/1994,190,
5343,Ricardo Pereira,Portugal,Defender,06/10/1993,175,70
3909,Ben Mee,England,Defender,21/09/1989,180,74
10191,Sullay Kaikai,Sierra Leone,Forward,26/08/1995,182,
8587,Jamie Ward,Northern Ireland,Forward,12/05/1986,165,
13192,Corey Jordan,England,Defender,04/03/1999,185,
8836,Marvin Johnson,England,Midfielder,01/12/1990,178,
32923,Yerry Mina,Colombia,Defender,23/09/1994,195,94
14452,Nathan Tella,England,Midfielder,05/07/1999,,
14359,Jordan Williams,England,Defender,22/10/1999,179,
66307,Rocky Bushiri,Belgium,Defender,30/11/1999,186,
14802,Tyreke Wilson,Ireland,Defender,02/12/1999,,
66318,Jarrad Branthwaite,England,Defender,27/06/2002,195,82
3869,Shkodran Mustafi,Germany,Defender,17/04/1992,184,
12359,Terence Kongolo,Netherlands,Defender,14/02/1994,188,
4402,Neil Taylor,Wales,Defender,07/02/1989,176,
52960,Louie Barry,England,Forward,21/06/2003,,
7981,Liam Feeney,England,Midfielder,28/04/1986,183,
10968,Ben Godfrey,England,Defender,15/01/1998,183,74
3881,Wes Foderingham,England,Goalkeeper,14/01/1991,185,
12639,Manolo Gabbiadini,Italy,Forward,26/11/1991,181,
6252,Emiliano Sala,Argentina,Forward,31/10/1990,187,
66669,Luis Díaz,Colombia,Forward,13/01/1997,178,65
4398,Michel Vorm,Netherlands,Goalkeeper,20/10/1983,183,
16431,Rúben Dias,Portugal,Defender,14/05/1997,186,76
4286,Oriol Romeu,Spain,Midfielder,24/09/1991,183,83
69546,Xavier Mbuyamba,Netherlands,Defender,31/12/2001,,
20053,Ajibola Alese,England,Defender,17/01/2001,,
75991,Joel Mumbongo,Sweden,Forward,09/01/1999,188,
14706,Kiernan Dewsbury-Hall,England,Midfielder,06/09/1998,,
15685,Alexander Sørloth,Norway,Forward,05/12/1995,195,
3562,Ciaran Clark,Ireland,Defender,26/09/1989,185,88
4816,Victor Wanyama,Kenya,Midfielder,25/06/1991,188,
14453,Charlie Gilmour,Scotland,Midfielder,11/02/1999,171,
20486,Leandro Trossard,Belgium,Forward,04/12/1994,171,61
22047,Christoph Zimmermann,Germany,Defender,12/01/1993,194,92
13549,Tosin Adarabioyo,England,Defender,24/09/1997,196,
2359,Dean Marney,England,Midfielder,31/01/1984,183,
4766,Mile Jedinak,Australia,Midfielder,03/08/1984,189,
25291,Jay-Roy Grot,Netherlands,Forward,13/03/1998,193,
20559,Alisson,Brazil,Goalkeeper,02/10/1992,191,91
4482,Chuba Akpom,England,Forward,09/10/1995,183,
11575,Rob Holding,England,Defender,20/09/1995,189,75
4135,Jonjo Shelvey,England,Midfielder,27/02/1992,184,80
20027,Saul Shotton,England,Defender,10/11/2000,184,
22002,Will Ferry,Ireland,Midfielder,07/12/2000,176,
112458,Hugo Bueno,Spain,Defender,18/09/2002,180,
5583,Mario Lemina,Gabon,Midfielder,01/09/1993,184,
49256,Ben Cottrell,England,Midfielder,31/10/2001,,
14393,Jamie Shackleton,England,Midfielder,08/10/1999,168,65
12265,Eduardo,Portugal,Goalkeeper,19/09/1982,187,
4654,Pablo Hernández,Spain,Midfielder,11/04/1985,173,
4918,Javier Manquillo,Spain,Defender,05/05/1994,178,76
3182,Adam Federici,Australia,Goalkeeper,31/01/1985,188,
5156,Beram Kayal,Israel,Midfielder,02/05/1988,178,
51530,Oliver Ewing,Wales,Midfielder,03/01/2003,,
4472,Nacho Monreal,Spain,Defender,26/02/1986,179,
51593,Elliot Anderson,Scotland,Midfielder,06/11/2002,,
42331,Christian Nørgaard,Denmark,Midfielder,10/03/1994,187,76
19607,Christopher Schindler,Germany,Defender,29/04/1990,188,
3138,Lee Peltier,England,Defender,11/12/1986,178,
14643,Alex Denny,England,Midfielder,12/04/2000,186,
3333,Jordon Mutch,England,Midfielder,02/12/1991,188,
2889,Jack Cork,England,Midfielder,25/06/1989,183,70
4148,Yaya Touré,Cote D’Ivoire,Midfielder,13/05/1983,188,
66506,Romaric Yapi,France,Defender,13/07/2000,178,
10651,Joseph Gomez,England,Defender,23/05/1997,188,77
14949,Joe Tupper,England,Goalkeeper,15/11/1997,,
66222,Zan-Luk Leban,Slovenia,Goalkeeper,15/12/2002,,
24667,Terry Taylor,Wales,Midfielder,29/06/2001,185,
16801,Antonio Rüdiger,Germany,Defender,03/03/1993,190,85
23817,Luis Longstaff,England,Midfielder,24/02/2001,168,
24000,Nikola Tavares,Croatia,Defender,17/01/1999,,
15212,Ben Johnson,England,Defender,24/01/2000,175,67
24232,Paul Glatzel,England,Forward,20/02/2001,,
3600,Séamus Coleman,Ireland,Defender,11/10/1988,177,67
43940,Harry Tyrer,England,Goalkeeper,06/12/2001,,
19865,Mark McGuinness,Ireland,Defender,05/01/2001,194,
23703,Juan Familia-Castillo,Netherlands,Defender,13/01/2000,,
9929,Jonathan Bond,England,Goalkeeper,19/05/1993,196,
5713,José Holebas,Greece,Defender,27/06/1984,184,
19617,Nampalys Mendy,Senegal,Midfielder,23/06/1992,167,73
13554,Kelechi Iheanacho,Nigeria,Forward,03/10/1996,185,82
13510,Pedro Chirivella,Spain,Midfielder,23/05/1997,178,
3982,Mohamed Diamé,Senegal,Midfielder,14/06/1987,184,
16747,Laurent Depoitre,Belgium,Forward,07/12/1988,191,
2852,Adam Legzdins,England,Goalkeeper,28/11/1986,190,
4492,Christian Benteke,Belgium,Forward,03/12/1990,190,83
14713,Josh Felix-Eppiah,Belgium,Forward,11/10/1998,179,
4288,Kevin De Bruyne,Belgium,Midfielder,28/06/1991,181,68
5672,Federico Fernández,Argentina,Defender,21/02/1989,190,83
13822,Sebastian Prödl,Austria,Defender,21/06/1987,194,
20178,Neeskens Kebano,DR Congo,Midfielder,10/03/1992,170,
4337,Jesse Lingard,England,Midfielder,15/12/1992,175,62
23743,Kyle John,England,Defender,13/02/2001,,
8897,Aaron Cresswell,England,Defender,15/12/1989,170,66
2007,Steve Sidwell,England,Midfielder,14/12/1982,178,
22698,Ezgjan Alioski,North Macedonia,Midfielder,12/02/1992,173,
4604,Nathaniel Clyne,England,Defender,05/04/1991,175,67
23759,Luca Ashby-Hammond,England,Goalkeeper,25/03/2001,,
19752,Akin Famewo,England,Defender,09/11/1998,187,
14428,João Virgínia,Portugal,Goalkeeper,10/10/1999,198,
4972,Pedro,Spain,Forward,28/07/1987,169,
14647,Magnus Norman,England,Goalkeeper,19/01/1997,192,
12937,Eric Bailly,Cote D’Ivoire,Defender,12/04/1994,187,77
50512,Mattéo Guendouzi,France,Midfielder,14/04/1999,185,
69417,Charlie Savage,Wales,Midfielder,02/05/2003,,
14451,Eddie Nketiah,England,Forward,30/05/1999,175,72
14779,Kean Bryan,England,Defender,01/11/1996,185,
114590,William Osula,Denmark,Forward,04/08/2003,,
23704,Tariq Lamptey,England,Defender,30/09/2000,,
15184,Vashon Neufville,England,Defender,18/07/1999,173,
8293,Will Norris,England,Goalkeeper,12/08/1993,195,74
24702,Daniel Langley,England,Goalkeeper,28/12/2000,,
14743,Paulo Alves,Portugal,Midfielder,25/12/1997,176,
15661,Birkir Bjarnason,Iceland,Midfielder,27/05/1988,183,
10443,Dominic Solanke,England,Forward,14/09/1997,187,
10467,Angeliño,Spain,Defender,04/01/1997,175,
4319,Costel Pantilimon,Romania,Goalkeeper,01/02/1987,203,
51511,Lewis Dobbin,England,Forward,03/01/2003,,
23152,Kristoffer Klaesson,Norway,Goalkeeper,27/11/2000,189,76
3889,Stefano Okaka,Italy,Forward,09/08/1989,186,
112097,Frederik Alves,Denmark,Defender,08/11/1999,195,
4852,Adrián,Spain,Goalkeeper,03/01/1987,190,80
20722,Sam Dalby,England,Forward,07/12/1999,,
23853,Jon McCracken,Scotland,Goalkeeper,24/05/2000,,
3348,Ádám Bogdán,Hungary,Goalkeeper,27/09/1987,193,
23768,Benjamin Davis,Thailand,Midfielder,24/11/2000,175,
7219,Alberto Moreno,Spain,Defender,05/07/1992,171,
64522,Christian Marques,Portugal,Defender,15/01/2003,187,
10957,Odion Ighalo,Nigeria,Forward,16/06/1989,181,
66104,Gabriel Martinelli,Brazil,Forward,18/06/2001,178,75
10480,Daryl Janmaat,Netherlands,Defender,22/07/1989,185,
14434,Tolaji Bola,England,Defender,04/01/1999,188,
49796,Ismaïla Sarr,Senegal,Forward,25/02/1998,185,76
12199,Björn Engels,Belgium,Defender,15/09/1994,193,
24778,Daniel Adshead,England,Midfielder,02/09/2001,167,
13867,Sam Field,England,Midfielder,08/05/1998,191,
16758,Maxwel Cornet,Cote D’Ivoire,Midfielder,27/09/1996,179,69
3906,Greg Cunningham,Ireland,Defender,31/01/1991,183,
15185,Mason Barrett,England,Defender,24/09/1999,,
62919,Brad Young,England,Midfielder,06/01/2003,,
5595,Jordan Ayew,Ghana,Forward,11/09/1991,182,80
14671,Matt O'Riley,Denmark,Midfielder,21/11/2000,,
33124,Pascal Struijk,Netherlands,Defender,11/08/1999,190,
19606,Floyd Ayité,Togo,Forward,15/12/1988,175,
1926,Brian Murphy,Ireland,Goalkeeper,07/05/1983,183,
74743,Melvin Sitti,France,Midfielder,14/02/2000,182,
5520,Stephan Lichtsteiner,Switzerland,Defender,16/01/1984,182,
9293,Joel Coleman,England,Goalkeeper,26/09/1995,198,
13285,Kenedy,Brazil,Forward,08/02/1996,182,77
25447,Taylor Harwood-Bellis,England,Defender,30/01/2002,188,
13903,Bright Enobakhare,Nigeria,Forward,08/02/1998,178,
31861,Albert Sambi Lokonga,Belgium,Midfielder,22/10/1999,173,67
3546,Samir Nasri,France,Midfielder,26/06/1987,175,
51581,Maxwell Haygarth,England,Midfielder,21/01/2002,,
10535,Reece Oxford,England,Defender,16/12/1998,193,
50501,Carlos Vinícius,Brazil,Forward,25/03/1995,190,
51612,Michael Craig,Scotland,Midfielder,16/04/2003,,
2508,Kasper Schmeichel,Denmark,Goalkeeper,05/11/1986,189,89
3955,Kyle Walker,England,Defender,28/05/1990,178,70
72119,Francisco Sierralta,Chile,Defender,06/05/1997,190,83
4748,Willian,Brazil,Forward,09/08/1988,175,
3505,David Button,England,Goalkeeper,27/02/1989,191,
4777,Gerard Deulofeu,Spain,Forward,13/03/1994,177,
13797,Daniel James,Wales,Midfielder,10/11/1997,171,76
9982,Reece Burke,England,Defender,02/09/1996,189,
25191,Bruno Jordão,Portugal,Midfielder,12/10/1998,180,
13232,Jiri Skalak,Czech Republic,Midfielder,12/03/1992,177,
14477,Dominic Revan,England,Defender,19/09/2000,,
13871,Pedro Obiang,Equatorial Guinea,Midfielder,27/03/1992,185,
68581,Harvey Davies,England,Goalkeeper,03/09/2003,,
14572,Dujon Sterling,England,Defender,24/10/1999,186,
7213,Sergio Rico,Spain,Goalkeeper,01/09/1993,195,
13987,Pablo Maffeo,Spain,Defender,12/07/1997,172,
4433,Alex Pritchard,England,Midfielder,03/05/1993,171,
15230,Connor Johnson,England,Defender,10/03/1998,,
5078,Lazar Markovic,Serbia,Midfielder,02/03/1994,175,
10074,Joe Ralls,England,Midfielder,12/10/1993,183,
24626,Douglas Luiz,Brazil,Midfielder,09/05/1998,175,66
19951,Lewis Cass,England,Defender,27/02/2000,,
2886,Ryan Bertrand,England,Defender,05/08/1989,179,85
4408,Ben Davies,Wales,Defender,24/04/1993,181,76
14298,Michael Folivi,England,Forward,25/02/1998,180,
9060,Andre Gray,Jamaica,Forward,26/06/1991,178,
10432,Rushian Marcus Amari Hepburn-Murphy,England,Forward,28/08/1998,173,
67198,Lewis Richardson,England,Midfielder,07/02/2003,,
13814,Cameron Carter-Vickers,United States,Defender,31/12/1997,183,
51484,Antef Tsoungui,England,Defender,30/12/2002,,
8882,Philip Billing,Denmark,Midfielder,11/06/1996,193,
22651,Marc Navarro,Spain,Defender,02/07/1995,188,
4771,Dwight Gayle,England,Forward,17/10/1989,174,78
14656,Ryan Sessegnon,England,Midfielder,18/05/2000,178,70
3316,Håvard Nordtveit,Norway,Defender,21/06/1990,188,
16286,Rodri,Spain,Midfielder,22/06/1996,191,82
20180,Achraf Lazaar,Morocco,Defender,22/01/1992,184,
10522,DeAndre Yedlin,United States,Defender,09/07/1993,172,
14696,Darnell Johnson,England,Defender,03/09/1998,,
3601,Shane Duffy,Ireland,Defender,01/01/1992,193,76
13899,Sylvain Deslandes,France,Defender,25/04/1997,178,
49495,Valentino Livramento,England,Defender,12/11/2002,,
4198,Craig Dawson,England,Defender,06/05/1990,188,82
68582,Conor Bradley,Northern Ireland,Midfielder,09/07/2003,,
15560,Felix Passlack,Germany,Midfielder,29/05/1998,170,
2835,Armand Traore,Senegal,Defender,08/10/1989,185,
12173,Florent Hadergjonaj,Kosovo,Defender,31/07/1994,182,
14732,Trent Alexander-Arnold,England,Defender,07/10/1998,175,69
24214,Kyle Taylor,England,Midfielder,26/05/1999,,
21848,Josh Gordon,England,Forward,10/10/1994,178,
4333,Michael Keane,England,Defender,11/01/1993,191,82
51545,Wanya Marçal-Madivadua,Portugal,Midfielder,19/10/2002,,
14340,Mark Harris,Wales,Midfielder,29/12/1998,182,
4158,Robbie Brady,Ireland,Midfielder,14/01/1992,176,
31670,Indiana Vassilev,United States,Forward,16/02/2001,173,
13089,Mateusz Klich,Poland,Midfielder,13/06/1990,183,84
2214,Robert Elliot,Ireland,Goalkeeper,30/04/1986,190,94
3413,Ryan Babel,Netherlands,Forward,19/12/1986,185,
9960,Alfie Mawson,England,Defender,19/01/1994,189,
50230,Andi Zeqiri,Switzerland,Forward,22/06/1999,181,
14875,Nathan Harker,England,Goalkeeper,05/11/1998,,
10905,Che Adams,Scotland,Forward,13/07/1996,175,70
8335,Gary Madine,England,Forward,24/08/1990,193,
4626,Billy Sharp,England,Forward,05/02/1986,175,
24342,Giovanni McGregor,England,Midfielder,09/01/1999,,
3014,Mark Noble,England,Midfielder,08/05/1987,180,70
51223,Ian Maatsen,Netherlands,Defender,10/03/2002,167,
50462,Sam Sherring,England,Defender,08/05/2000,,
15367,Conor Shaughnessy,Ireland,Midfielder,30/06/1996,191,
8584,Craig Bryson,Scotland,Midfielder,06/11/1986,170,
23841,James Garner,England,Midfielder,13/03/2001,186,
23948,Brooklyn Lyons-Foster,England,Defender,01/12/2000,,
6194,Wesley Hoedt,Netherlands,Defender,06/03/1994,188,
6210,Jóhann Gudmundsson,Iceland,Midfielder,27/10/1990,186,78
4229,Matt Doherty,Ireland,Defender,16/01/1992,182,80
3979,James McCarthy,Ireland,Midfielder,12/11/1990,180,
4711,Sam Baldock,England,Forward,15/03/1989,170,
23976,Nathan Ferguson,England,Defender,06/10/2000,178,74
